Mount     ALT  LIMIT-         20160905.11:56:50.726    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:52.716    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:52.717    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:54.724    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:54.724    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:56.726    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:56.726    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:56:58.716    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:56:58.716    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:00.715    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:00.715    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:02.728    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:02.728    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:04.727    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:04.727    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:06.740    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:06.740    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:08.727    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:08.727    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:10.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:10.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:12.721    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:12.721    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:14.740    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:14.740    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:16.738    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:16.738    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:18.740    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:18.740    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:20.743    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:20.743    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:22.729    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:22.729    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:24.728    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:24.728    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:26.733    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:26.733    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:28.722    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:28.722    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:30.728    	ALT  LIMIT+                                                                                        
