Mount     AZ  LIMIT-          20160629.10:48:18.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:18.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:20.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:20.284    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:22.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:22.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:24.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:24.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:26.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:26.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:28.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:28.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:30.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:30.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:32.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:32.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:34.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:34.284    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:36.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:36.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:38.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:38.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:40.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:40.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:42.282    	AZ  LIMIT-                                                                                         
